anio_mundial,equipo_local,equipo_visitante,url_partido,jugador,seleccion_gol,minuto,minuto_num,tipo_gol,tiempo_extra
1930,Francia,México,1930_francia_mexico,Lucien Laurent,Francia,19,19,normal,false
1930,Francia,México,1930_francia_mexico,Marcel Langiller,Francia,40,40,normal,false
1930,Francia,México,1930_francia_mexico,Andre Maschinot,Francia,43,43,normal,false
1930,Francia,México,1930_francia_mexico,Juan Carreno,México,70,70,normal,false
1930,Francia,México,1930_francia_mexico,Andre Maschinot,Francia,87,87,normal,false
1930,Estados Unidos,Bélgica,1930_estados_unidos_belgica,Bart Mcghee,Estados Unidos,23,23,normal,false
1930,Estados Unidos,Bélgica,1930_estados_unidos_belgica,Tom Florie,Estados Unidos,45,45,normal,false
1930,Estados Unidos,Bélgica,1930_estados_unidos_belgica,Bert Patenaude,Estados Unidos,69,69,normal,false
1930,Rumania,Perú,1930_rumania_peru,Adalbert Desu,Rumania,1,1,normal,false
1930,Rumania,Perú,1930_rumania_peru,Luis Souza,Perú,75,75,normal,false
1930,Rumania,Perú,1930_rumania_peru,Constantin Stanciu,Rumania,79,79,normal,false
1930,Rumania,Perú,1930_rumania_peru,Nicolae Kovacs,Rumania,89,89,normal,false
1930,Yugoslavia,Brasil,1930_yugoslavia_brasil,Aleksandar Tirnanic,Yugoslavia,21,21,normal,false
1930,Yugoslavia,Brasil,1930_yugoslavia_brasil,Ivica Bek,Yugoslavia,30,30,normal,false
1930,Yugoslavia,Brasil,1930_yugoslavia_brasil,Preguinho,Brasil,62,62,normal,false
1930,Argentina,Francia,1930_argentina_francia,Luis Monti,Argentina,81,81,normal,false
1930,Chile,México,1930_chile_mexico,Carlos Vidal,Chile,3,3,normal,false
1930,Chile,México,1930_chile_mexico,Manuel Rosas,Chile,51,51,normal,false
1930,Chile,México,1930_chile_mexico,Carlos Vidal,Chile,65,65,normal,false
1930,Yugoslavia,Bolivia,1930_yugoslavia_bolivia,Ivica Bek,Yugoslavia,60,60,normal,false
1930,Yugoslavia,Bolivia,1930_yugoslavia_bolivia,Blagoje Marjanovic,Yugoslavia,65,65,normal,false
1930,Yugoslavia,Bolivia,1930_yugoslavia_bolivia,Ivica Bek,Yugoslavia,67,67,normal,false
1930,Yugoslavia,Bolivia,1930_yugoslavia_bolivia,Djordje Vujadinovic,Yugoslavia,85,85,normal,false
1930,Estados Unidos,Paraguay,1930_estados_unidos_paraguay,Bert Patenaude,Estados Unidos,10,10,normal,false
1930,Estados Unidos,Paraguay,1930_estados_unidos_paraguay,Bert Patenaude,Estados Unidos,15,15,normal,false
1930,Estados Unidos,Paraguay,1930_estados_unidos_paraguay,Bert Patenaude,Estados Unidos,50,50,normal,false
1930,Uruguay,Perú,1930_uruguay_peru,Hector Castro,Uruguay,60,60,normal,false
1930,Argentina,México,1930_argentina_mexico,Guillermo Stabile,Argentina,8,8,normal,false
1930,Argentina,México,1930_argentina_mexico,Adolfo Zumelzu,Argentina,12,12,normal,false
1930,Argentina,México,1930_argentina_mexico,Guillermo Stabile,Argentina,17,17,normal,false
1930,Argentina,México,1930_argentina_mexico,Manuel Rosas,México,42,42,penal,false
1930,Argentina,México,1930_argentina_mexico,Francisco Varallo,Argentina,53,53,normal,false
1930,Argentina,México,1930_argentina_mexico,Adolfo Zumelzu,Argentina,55,55,normal,false
1930,Argentina,México,1930_argentina_mexico,Manuel Rosas,México,65,65,normal,false
1930,Argentina,México,1930_argentina_mexico,Roberto Gayon,México,75,75,normal,false
1930,Argentina,México,1930_argentina_mexico,Guillermo Stabile,Argentina,80,80,normal,false
1930,Chile,Francia,1930_chile_francia,Guillermo Subiabre,Chile,65,65,normal,false
1930,Paraguay,Bélgica,1930_paraguay_belgica,Luis Vargas Pena,Paraguay,40,40,normal,false
1930,Brasil,Bolivia,1930_brasil_bolivia,Moderato,Brasil,37,37,normal,false
1930,Brasil,Bolivia,1930_brasil_bolivia,Preguinho,Brasil,67,67,normal,false
1930,Brasil,Bolivia,1930_brasil_bolivia,Moderato,Brasil,73,73,normal,false
1930,Brasil,Bolivia,1930_brasil_bolivia,Preguinho,Brasil,83,83,normal,false
1930,Uruguay,Rumania,1930_uruguay_rumania,Pablo Dorado,Uruguay,7,7,normal,false
1930,Uruguay,Rumania,1930_uruguay_rumania,Hector Scarone,Uruguay,24,24,normal,false
1930,Uruguay,Rumania,1930_uruguay_rumania,Juan Anselmo,Uruguay,30,30,normal,false
1930,Uruguay,Rumania,1930_uruguay_rumania,Pedro Cea,Uruguay,35,35,normal,false
1930,Argentina,Chile,1930_argentina_chile,Guillermo Stabile,Argentina,12,12,normal,false
1930,Argentina,Chile,1930_argentina_chile,Guillermo Stabile,Argentina,13,13,normal,false
1930,Argentina,Chile,1930_argentina_chile,Guillermo Subiabre,Chile,15,15,normal,false
1930,Argentina,Chile,1930_argentina_chile,Mario Evaristo,Argentina,51,51,normal,false
1930,Argentina,Estados Unidos,1930_argentina_estados_unidos,Luis Monti,Argentina,20,20,normal,false
1930,Argentina,Estados Unidos,1930_argentina_estados_unidos,Alejandro Scopelli,Argentina,56,56,normal,false
1930,Argentina,Estados Unidos,1930_argentina_estados_unidos,Guillermo Stabile,Argentina,69,69,normal,false
1930,Argentina,Estados Unidos,1930_argentina_estados_unidos,Carlos Peucelle,Argentina,80,80,normal,false
1930,Argentina,Estados Unidos,1930_argentina_estados_unidos,Carlos Peucelle,Argentina,85,85,normal,false
1930,Argentina,Estados Unidos,1930_argentina_estados_unidos,Guillermo Stabile,Argentina,87,87,normal,false
1930,Argentina,Estados Unidos,1930_argentina_estados_unidos,Jim Brown,Estados Unidos,89,89,normal,false
1930,Uruguay,Yugoslavia,1930_uruguay_yugoslavia,Branislav Sekulic,Yugoslavia,4,4,normal,false
1930,Uruguay,Yugoslavia,1930_uruguay_yugoslavia,Pedro Cea,Uruguay,18,18,normal,false
1930,Uruguay,Yugoslavia,1930_uruguay_yugoslavia,Juan Anselmo,Uruguay,20,20,normal,false
1930,Uruguay,Yugoslavia,1930_uruguay_yugoslavia,Juan Anselmo,Uruguay,31,31,normal,false
1930,Uruguay,Yugoslavia,1930_uruguay_yugoslavia,Victoriano Iriarte,Uruguay,61,61,normal,false
1930,Uruguay,Yugoslavia,1930_uruguay_yugoslavia,Pedro Cea,Uruguay,67,67,normal,false
1930,Uruguay,Yugoslavia,1930_uruguay_yugoslavia,Pedro Cea,Uruguay,72,72,normal,false
1930,Argentina,Uruguay,1930_argentina_uruguay,Pablo Dorado,Uruguay,12,12,normal,false
1930,Argentina,Uruguay,1930_argentina_uruguay,Carlos Peucelle,Argentina,20,20,normal,false
