anio_mundial,nombre_grupo,num_selecciones,num_clasificados
1930,Grupo 1,4,1
1930,Grupo 2,3,1
1930,Grupo 3,3,1
1930,Grupo 4,3,1
1950,Grupo 1,4,1
1950,Grupo 2,4,1
1950,Grupo 3,3,1
1950,Grupo 4,2,1
1950,Grupo F,4,1
1954,Grupo 1,4,2
1954,Grupo 2,4,2
1954,Grupo 3,4,2
1954,Grupo 4,4,2
1958,Grupo 1,4,2
1958,Grupo 2,4,2
1958,Grupo 3,4,2
1958,Grupo 4,4,2
1962,Grupo 1,4,2
1962,Grupo 2,4,2
1962,Grupo 3,4,2
1962,Grupo 4,4,2
1966,Grupo 1,4,2
1966,Grupo 2,4,2
1966,Grupo 3,4,2
1966,Grupo 4,4,2
1970,Grupo 1,4,2
1970,Grupo 2,4,2
1970,Grupo 3,4,2
1970,Grupo 4,4,2
1974,Grupo 1,4,2
1974,Grupo 2,4,2
1974,Grupo 3,4,2
1974,Grupo 4,4,2
1974,Grupo A,4,2
1974,Grupo B,4,2
1978,Grupo 1,4,2
1978,Grupo 2,4,2
1978,Grupo 3,4,2
1978,Grupo 4,4,2
1978,Grupo A,4,2
1978,Grupo B,4,2
1982,Grupo 1,3,1
1982,Grupo 2,3,1
1982,Grupo 3,3,1
1982,Grupo 4,3,1
1982,Grupo A,4,2
1982,Grupo B,4,2
1982,Grupo C,4,2
1982,Grupo D,4,2
1982,Grupo E,4,2
1982,Grupo F,4,2
1986,Grupo A,4,3
1986,Grupo B,4,3
1986,Grupo C,4,2
1986,Grupo D,4,2
1986,Grupo E,4,3
1986,Grupo F,4,3
1990,Grupo A,4,2
1990,Grupo B,4,3
1990,Grupo C,4,2
1990,Grupo D,4,3
1990,Grupo E,4,3
1990,Grupo F,4,3
1994,Grupo A,4,3
1994,Grupo B,4,2
1994,Grupo C,4,2
1994,Grupo D,4,3
1994,Grupo E,4,3
1994,Grupo F,4,3
1998,Grupo A,4,2
1998,Grupo B,4,2
1998,Grupo C,4,2
1998,Grupo D,4,2
1998,Grupo E,4,2
1998,Grupo F,4,2
1998,Grupo G,4,2
1998,Grupo H,4,2
2002,Grupo A,4,2
2002,Grupo B,4,2
2002,Grupo C,4,2
2002,Grupo D,4,2
2002,Grupo E,4,2
2002,Grupo F,4,2
2002,Grupo G,4,2
2002,Grupo H,4,2
2006,Grupo A,4,2
2006,Grupo B,4,2
2006,Grupo C,4,2
2006,Grupo D,4,2
2006,Grupo E,4,2
2006,Grupo F,4,2
2006,Grupo G,4,2
2006,Grupo H,4,2
2010,Grupo A,4,2
2010,Grupo B,4,2
2010,Grupo C,4,2
2010,Grupo D,4,2
2010,Grupo E,4,2
2010,Grupo F,4,2
2010,Grupo G,4,2
2010,Grupo H,4,2
2014,Grupo A,4,2
2014,Grupo B,4,2
2014,Grupo C,4,2
2014,Grupo D,4,2
2014,Grupo E,4,2
2014,Grupo F,4,2
2014,Grupo G,4,2
2014,Grupo H,4,2
2018,Grupo A,4,2
2018,Grupo B,4,2
2018,Grupo C,4,2
2018,Grupo D,4,2
2018,Grupo E,4,2
2018,Grupo F,4,2
2018,Grupo G,4,2
2018,Grupo H,4,2
2022,Grupo A,4,2
2022,Grupo B,4,2
2022,Grupo C,4,2
2022,Grupo D,4,2
2022,Grupo E,4,2
2022,Grupo F,4,2
2022,Grupo G,4,2
2022,Grupo H,4,2
