apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
A'Court,Alan,"A'Court, Alan",Inglaterra,30 de septiembre de 1934,Delantero,https://www.losmundialesdefutbol.com/jugadores/alan_acourt.php
Aaronson,Brenden,"Aaronson, Brenden",Estados Unidos,22 de octubre de 2000,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/brenden_aaronson.php
Abadzhiev,Stefan,"Abadzhiev, Stefan",Bulgaria,3 de julio de 1934,Delantero,https://www.losmundialesdefutbol.com/jugadores/stefan_abadzhiev.php
Abalo,Jean-Paul,"Abalo, Jean-Paul",Togo,26 de junio de 1975,Defensor,https://www.losmundialesdefutbol.com/jugadores/jean_paul_abalo.php
Abanda,Patrice,"Abanda, Patrice",CamerÃºn,3 de agosto de 1978,Defensor,https://www.losmundialesdefutbol.com/jugadores/patrice_abanda.php
Abate,Ignazio,"Abate, Ignazio",Italia,12 de noviembre de 1986,Defensor,https://www.losmundialesdefutbol.com/jugadores/ignazio_abate.php
Abbadie,Julio,"Abbadie, Julio",Uruguay,7 de septiembre de 1930,Delantero,https://www.losmundialesdefutbol.com/jugadores/julio_abbadie.php
Abbes,Claude,"Abbes, Claude",Francia,24 de mayo de 1927,Arquero,https://www.losmundialesdefutbol.com/jugadores/claude_abbes.php
Abbiati,Christian,"Abbiati, Christian",Italia,8 de julio de 1977,Arquero,https://www.losmundialesdefutbol.com/jugadores/christian_abbiati.php
Abbondanzieri,Roberto,"Abbondanzieri, Roberto",Argentina,19 de agosto de 1972,Arquero,https://www.losmundialesdefutbol.com/jugadores/roberto_abbondanzieri.php
Abdel-Shafy,Mohamed,Mohamed Abdel-Shafy,Egipto,1 de julio de 1985,Defensor,https://www.losmundialesdefutbol.com/jugadores/mohamed_abdel_shafy.php
Abdelhamid,Gamal,"Abdelhamid, Gamal",Egipto,24 de noviembre de 1957,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/gamal_abdelhamid.php
Abdeljawad,Mohamed,"Abdeljawad, Mohamed",Arabia Saudita,28 de noviembre de 1962,Defensor,https://www.losmundialesdefutbol.com/jugadores/mohamed_abdeljawad.php
Abdellah,Nacer,"Abdellah, Nacer",Marruecos,3 de marzo de 1966,Defensor,https://www.losmundialesdefutbol.com/jugadores/nacer_abdellah.php
Abdelrahman,Adel,"Abdelrahman, Adel",Egipto,11 de diciembre de 1967,Delantero,https://www.losmundialesdefutbol.com/jugadores/adel_abdelrahman.php
Abdi,Ali,"Abdi, Ali",TÃºnez,20 de diciembre de 1993,Defensor,https://www.losmundialesdefutbol.com/jugadores/ali_abdi.php
Abdollahi,Nasrollah,"Abdollahi, Nasrollah",IrÃ¡n,2 de octubre de 1950,Delantero,https://www.losmundialesdefutbol.com/jugadores/nasrollah_abdollahi.php
Abdoun,Djamal,"Abdoun, Djamal",Argelia,14 de febrero de 1986,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/djamal_abdoun.php
Abdul Samed,Salis,"Abdul Samed, Salis",Ghana,26 de marzo de 2000,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/salis_abdul_samed.php
,Abdul-Rahim,Abdul-Rahim,Iraq,23 de mayo de 1963,Delantero,https://www.losmundialesdefutbol.com/jugadores/abdul_rahim.php
,Abdulaziz Mohamed,Abdulaziz Mohamed,Emiratos Arabes,12 de diciembre de 1965,Delantero,https://www.losmundialesdefutbol.com/jugadores/abdulaziz_mohamed.php
Abdulhamid,Saud,Saud Abdullah Abdulhamid,Arabia Saudita,18 de julio de 1999,Defensor,https://www.losmundialesdefutbol.com/jugadores/saud_abdulhamid.php
Abdullah,Majed,"Abdullah, Majed",Arabia Saudita,1 de noviembre de 1959,Delantero,https://www.losmundialesdefutbol.com/jugadores/majed_abdullah.php
Abdullah,Mohamed,"Abdullah, Mohamed",Emiratos Arabes,1 de octubre de 1963,Defensor,https://www.losmundialesdefutbol.com/jugadores/mohamed_abdullah.php
,Abdullah Musa,Abdullah Musa,Emiratos Arabes,2 de marzo de 1958,Arquero,https://www.losmundialesdefutbol.com/jugadores/abdullah_musa.php
Abdullahi,Shehu,Shehu Abdullahi,Nigeria,12 de marzo de 1993,Defensor,https://www.losmundialesdefutbol.com/jugadores/shehu_abdullahi.php
Abdulqader,Hassan,"Abdulqader, Hassan",Emiratos Arabes,15 de abril de 1962,Arquero,https://www.losmundialesdefutbol.com/jugadores/hassan_abdulqader.php
Abe,Yuki,"Abe, Yuki",JapÃ³n,6 de septiembre de 1981,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/yuki_abe.php
Abedelghani,Magdy,"Abedelghani, Magdy",Egipto,27 de julio de 1959,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/magdy_abedelghani.php
Abedzadeh,Ahmed,"Abedzadeh, Ahmed",IrÃ¡n,25 de mayo de 1966,Arquero,https://www.losmundialesdefutbol.com/jugadores/ahmed_abedzadeh.php
Abedzadeh,Amir,Amir Abedzadeh,IrÃ¡n,26 de abril de 1993,Arquero,https://www.losmundialesdefutbol.com/jugadores/amir_abedzadeh.php
Abega,Theophile,"Abega, Theophile",CamerÃºn,9 de julio de 1954,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/theophile_abega.php
Abegglen,Andre,"Abegglen, Andre",Suiza,7 de marzo de 1909,Delantero,https://www.losmundialesdefutbol.com/jugadores/andre_abegglen.php
,Abel,Abel,Brasil,1 de septiembre de 1952,Defensor,https://www.losmundialesdefutbol.com/jugadores/abel.php
,Abel Xavier,Abel Xavier,Portugal,30 de noviembre de 1972,Defensor,https://www.losmundialesdefutbol.com/jugadores/abel_xavier.php
,Abelardo,Abelardo,EspaÃ±a,19 de abril de 1970,Defensor,https://www.losmundialesdefutbol.com/jugadores/abelardo.php
Abeledo,Ramon,"Abeledo, Ramon",Argentina,24 de septiembre de 1937,Delantero,https://www.losmundialesdefutbol.com/jugadores/ramon_abeledo.php
Abidal,Eric,"Abidal, Eric",Francia,11 de septiembre de 1979,Defensor,https://www.losmundialesdefutbol.com/jugadores/eric_abidal.php
Ablanedo,Juan Carlos,"Ablanedo, Juan Carlos",EspaÃ±a,2 de septiembre de 1963,Arquero,https://www.losmundialesdefutbol.com/jugadores/juan_carlos_ablanedo.php
Abonyi,Attila,"Abonyi, Attila",Australia,16 de agosto de 1946,Delantero,https://www.losmundialesdefutbol.com/jugadores/attila_abonyi.php
Abou Zeid,Taher,"Abou Zeid, Taher",Egipto,1 de abril de 1962,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/taher_abou_zeid.php
Aboubakar,Vincent,"Aboubakar, Vincent",CamerÃºn,22 de enero de 1992,Delantero,https://www.losmundialesdefutbol.com/jugadores/vincent_aboubakar.php
Aboukhlal,Zakaria,"Aboukhlal, Zakaria",Marruecos,18 de febrero de 2000,Delantero,https://www.losmundialesdefutbol.com/jugadores/zakaria_aboukhlal.php
