apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Ha,Dae-Sung,"Ha, Dae-Sung",Corea del Sur,2 de marzo de 1985,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/dae_sung_ha.php
Ha,Seok Ju,"Ha, Seok Ju",Corea del Sur,20 de febrero de 1968,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/seok_ju_ha.php
Ha,Yung Won,"Ha, Yung Won",Corea del Norte,20 de abril de 1942,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/yung_won_ha.php
Haan,Arie,"Haan, Arie",Paises Bajos,16 de noviembre de 1948,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/arie_haan.php
Haas,Mario,"Haas, Mario",Austria,16 de septiembre de 1974,Delantero,https://www.losmundialesdefutbol.com/jugadores/mario_haas.php
Habermann,Sven,"Habermann, Sven",CanadÃ¡,03 de noviembre de 1961,Arquero,https://www.losmundialesdefutbol.com/jugadores/sven_habermann.php
Habowski,Boleslaw,"Habowski, Boleslaw",Polonia,13 de septiembre de 1914,Delantero,https://www.losmundialesdefutbol.com/jugadores/boleslaw_habowski.php
Hada,Jozsef,"Hada, Jozsef",HungrÃ­a,2 de marzo de 1911,Arquero,https://www.losmundialesdefutbol.com/jugadores/jozsef_hada.php
Hadda,Abdeljalil,"Hadda, Abdeljalil",Marruecos,21 de marzo de 1972,Delantero,https://www.losmundialesdefutbol.com/jugadores/abdeljalil_hadda.php
Haddadi,Oussama,Oussama Haddadi,TÃºnez,28 de enero de 1992,Defensor,https://www.losmundialesdefutbol.com/jugadores/oussama_haddadi.php
Haddadifar,Ghasem,"Haddadifar, Ghasem",IrÃ¡n,12 de julio de 1983,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ghasem_haddadifar.php
Haddock,Harry,"Haddock, Harry",Escocia,26 de julio de 1925,Defensor,https://www.losmundialesdefutbol.com/jugadores/harry_haddock.php
Hadziabdic,Enver,"Hadziabdic, Enver",Yugoslavia,6 de noviembre de 1945,Defensor,https://www.losmundialesdefutbol.com/jugadores/enver_hadziabdic.php
Hadzibegic,Faruk,"Hadzibegic, Faruk",Yugoslavia,7 de octubre de 1957,Defensor,https://www.losmundialesdefutbol.com/jugadores/faruk_hadzibegic.php
Hadzic,Anel,"Hadzic, Anel",Bosnia-Herzegovina,16 de agosto de 1989,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/anel_hadzic.php
Haessler,Thomas,"Haessler, Thomas",Alemania Occidental,30 de mayo de 1966,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/thomas_haessler.php
Hagara,Vladimir,"Hagara, Vladimir",Checoslovaquia,7 de noviembre de 1943,Defensor,https://www.losmundialesdefutbol.com/jugadores/vladimir_hagara.php
Hagberg,Goran,"Hagberg, Goran",Suecia,8 de noviembre de 1947,Arquero,https://www.losmundialesdefutbol.com/jugadores/goran_hagberg.php
Haggui,Karim,"Haggui, Karim",TÃºnez,20 de enero de 1984,Defensor,https://www.losmundialesdefutbol.com/jugadores/karim_haggui.php
Haghighi,Alireza,"Haghighi, Alireza",IrÃ¡n,2 de mayo de 1988,Arquero,https://www.losmundialesdefutbol.com/jugadores/alireza_haghighi.php
Haghighi,Reza,"Haghighi, Reza",IrÃ¡n,1 de enero de 1989,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/reza_haghighi.php
Hagi,Gheorghe,"Hagi, Gheorghe",Rumania,5 de febrero de 1965,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/gheorghe_hagi.php
Hagmayr,Max,"Hagmayr, Max",Austria,16 de noviembre de 1956,Delantero,https://www.losmundialesdefutbol.com/jugadores/max_hagmayr.php
Hahnemann,Marcus,"Hahnemann, Marcus",Estados Unidos,15 de junio de 1972,Arquero,https://www.losmundialesdefutbol.com/jugadores/marcus_hahnemann.php
Hahnemann,Wilhelm,"Hahnemann, Wilhelm",Alemania,14 de abril de 1914,Delantero,https://www.losmundialesdefutbol.com/jugadores/wilhelm_hahnemann.php
Hajrovic,Izet,"Hajrovic, Izet",Bosnia-Herzegovina,4 de agosto de 1991,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/izet_hajrovic.php
Hajsafi,Ehsan,Ehsan Hajsafi,IrÃ¡n,25 de febrero de 1990,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ehsan_hajsafi.php
Hajszan,Gyula,"Hajszan, Gyula",HungrÃ­a,9 de octubre de 1961,Delantero,https://www.losmundialesdefutbol.com/jugadores/gyula_hajszan.php
Hajto,Tomasz,"Hajto, Tomasz",Polonia,16 de octubre de 1972,Defensor,https://www.losmundialesdefutbol.com/jugadores/tomasz_hajto.php
Hakansson,Olle,"Hakansson, Olle",Suecia,22 de febrero de 1927,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/olle_hakansson.php
