apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Sa,Francisco,"Sa, Francisco",Argentina,25 de octubre de 1945,Defensor,https://www.losmundialesdefutbol.com/jugadores/francisco_sa.php
Sá,José,"Sá, José",Portugal,17 de enero de 1993,Arquero,https://www.losmundialesdefutbol.com/jugadores/jose_sa.php
Saavedra,Guillermo,"Saavedra, Guillermo",Chile,5 de noviembre de 1903,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/guillermo_saavedra.php
Saavedra,Hector,"Saavedra, Hector",Bolivia,,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/hector_saavedra.php
Sabadini,Giuseppe,"Sabadini, Giuseppe",Italia,26 de marzo de 1949,Defensor,https://www.losmundialesdefutbol.com/jugadores/giuseppe_sabadini.php
Sabaly,Youssouf,Youssouf Sabaly,Senegal,5 de marzo de 1993,Defensor,https://www.losmundialesdefutbol.com/jugadores/youssouf_sabaly.php
Sabanadzovic,Refik,"Sabanadzovic, Refik",Yugoslavia,2 de agosto de 1965,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/refik_sabanadzovic.php
Sabau,Ioan,"Sabau, Ioan",Rumania,12 de febrero de 1968,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ioan_sabau.php
Saber,Abdelilah,"Saber, Abdelilah",Marruecos,21 de abril de 1974,Defensor,https://www.losmundialesdefutbol.com/jugadores/abdelilah_saber.php
Sabillon,Mauricio,"Sabillon, Mauricio",Honduras,11 de noviembre de 1978,Defensor,https://www.losmundialesdefutbol.com/jugadores/mauricio_sabillon.php
Sabiri,Abdelhamid,"Sabiri, Abdelhamid",Marruecos,28 de noviembre de 1996,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/abdelhamid_sabiri.php
Sabo,Yozhef,"Sabo, Yozhef",URSS,29 de febrero de 1940,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/yozhef_sabo.php
Saborio,Alvaro,"Saborio, Alvaro",Costa Rica,25 de marzo de 1982,Delantero,https://www.losmundialesdefutbol.com/jugadores/alvaro_saborio.php
Sacchi,Federico,"Sacchi, Federico",Argentina,9 de agosto de 1936,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/federico_sacchi.php
Sadavi,Naim,"Sadavi, Naim",Irán,16 de junio de 1969,Defensor,https://www.losmundialesdefutbol.com/jugadores/naim_sadavi.php
,Saddam Karim,Saddam Karim,Iraq,26 de mayo de 1960,Delantero,https://www.losmundialesdefutbol.com/jugadores/saddam_karim.php
Sadeghi,Amir Hossein,Amir Hossein Sadeghi or Sadeqi,Irán,6 de septiembre de 1981,Defensor,https://www.losmundialesdefutbol.com/jugadores/amir_hossein_sadeqi.php
Sadeqi,Mohammad,"Sadeqi, Mohammad",Irán,17 de marzo de 1951,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/mohammad_sadeqi.php
Sadkov,Ayan,"Sadkov, Ayan",Bulgaria,26 de septiembre de 1961,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ayan_sadkov.php
Sadmi,Abdelhamid,"Sadmi, Abdelhamid",Argelia,1 de enero de 1961,Defensor,https://www.losmundialesdefutbol.com/jugadores/abdelhamid_sadmi.php
,Sadouk Sassi,Sadouk Sassi,Túnez,15 de noviembre de 1945,Arquero,https://www.losmundialesdefutbol.com/jugadores/sadouk_sassi.php
