apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Ubina,Luis,"Ubina, Luis",Uruguay,7 de junio de 1940,Defensor,https://www.losmundialesdefutbol.com/jugadores/luis_ubina.php
Uche,Kalu,"Uche, Kalu",Nigeria,15 de noviembre de 1982,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/kalu_uche.php
Uchebo,Michael,"Uchebo, Michael",Nigeria,3 de febrero de 1990,Delantero,https://www.losmundialesdefutbol.com/jugadores/michael_uchebo.php
Uchida,Atsuto,"Uchida, Atsuto",Japón,27 de marzo de 1988,Defensor,https://www.losmundialesdefutbol.com/jugadores/atsuto_uchida.php
Udeze,Ifeanyi,"Udeze, Ifeanyi",Nigeria,21 de julio de 1980,Defensor,https://www.losmundialesdefutbol.com/jugadores/ifeanyi_udeze.php
Ueda,Ayase,"Ueda, Ayase",Japón,28 de agosto de 1998,Delantero,https://www.losmundialesdefutbol.com/jugadores/ayase_ueda.php
Ueda,Naomichi,Naomichi Ueda,Japón,24 de octubre de 1994,Defensor,https://www.losmundialesdefutbol.com/jugadores/naomichi_ueda.php
Ufarte,Jose,"Ufarte, Jose",España,17 de mayo de 1941,Delantero,https://www.losmundialesdefutbol.com/jugadores/jose_ufarte.php
Ugarte,Manuel,"Ugarte, Manuel",Uruguay,11 de abril de 2001,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/manuel_ugarte.php
Ugarte,Victor,"Ugarte, Victor",Bolivia,5 de mayo de 1926,Delantero,https://www.losmundialesdefutbol.com/jugadores/victor_ugarte.php
Ugbo,Ike,Iké Dominique Ugbo,Canadá,21 de septiembre de 1998,Delantero,https://www.losmundialesdefutbol.com/jugadores/ike_ugbo.php
Ujfalusi,Tomas,"Ujfalusi, Tomas",República Checa,24 de marzo de 1978,Defensor,https://www.losmundialesdefutbol.com/jugadores/tomas_ujfalusi.php
Umaña,Michael,"Umaña, Michael",Costa Rica,16 de julio de 1982,Defensor,https://www.losmundialesdefutbol.com/jugadores/michael_umana.php
Umtiti,Samuel,Samuel Yves Umtiti,Francia,14 de noviembre de 1993,Defensor,https://www.losmundialesdefutbol.com/jugadores/samuel_umtiti.php
Unger,Sven,"Unger, Sven",Suecia,,Delantero,https://www.losmundialesdefutbol.com/jugadores/sven_unger.php
