anio_mundial,posicion,jugador,seleccion,goles,partidos,promedio_gol
1930,1,Guillermo Stabile,Argentina,8,4,2.0
1930,2,Pedro Cea,Uruguay,5,4,1.25
1930,3,Bert Patenaude,Estados Unidos,4,3,1.33
1930,4,Juan Anselmo,Uruguay,3,2,1.5
1930,4,Ivica Bek,Yugoslavia,3,3,1.0
1930,4,Carlos Peucelle,Argentina,3,4,0.75
1930,4,Preguinho,Brasil,3,2,1.5
1930,8,Hector Castro,Uruguay,2,2,1.0
1930,8,Pablo Dorado,Uruguay,2,3,0.67
1930,8,Victoriano Iriarte,Uruguay,2,4,0.5
1930,8,Andre Maschinot,Francia,2,2,1.0
1930,8,Moderato,Brasil,2,1,2.0
1930,8,Luis Monti,Argentina,2,4,0.5
1930,8,Manuel Rosas,México,2,3,0.67
1930,8,Guillermo Subiabre,Chile,2,3,0.67
1930,8,Carlos Vidal,Chile,2,3,0.67
1930,8,Adolfo Zumelzu,Argentina,2,1,2.0
1930,18,Jim Brown,Estados Unidos,1,3,0.33
1930,18,Juan Carreno,México,1,3,0.33
1930,18,Adalbert Desu,Rumania,1,2,0.5
1930,18,Mario Evaristo,Argentina,1,4,0.25
1930,18,Tom Florie,Estados Unidos,1,3,0.33
1930,18,Roberto Gayon,México,1,2,0.5
1930,18,Nicolae Kovacs,Rumania,1,2,0.5
1930,18,Marcel Langiller,Francia,1,3,0.33
1930,18,Lucien Laurent,Francia,1,2,0.5
1930,18,Blagoje Marjanovic,Yugoslavia,1,3,0.33
1930,18,Bart Mcghee,Estados Unidos,1,3,0.33
1930,18,Hector Scarone,Uruguay,1,3,0.33
1930,18,Alejandro Scopelli,Argentina,1,1,1.0
1930,18,Branislav Sekulic,Yugoslavia,1,2,0.5
1930,18,Luis Souza,Perú,1,2,0.5
1930,18,Constantin Stanciu,Rumania,1,1,1.0
1930,18,Aleksandar Tirnanic,Yugoslavia,1,3,0.33
1930,18,Francisco Varallo,Argentina,1,4,0.25
1930,18,Luis Vargas Pena,Paraguay,1,2,0.5
1930,18,Djordje Vujadinovic,Yugoslavia,1,3,0.33
1934,1,Oldrich Nejedly,Checoslovaquia,5,4,1.25
1934,2,Edmund Conen,Alemania,4,4,1.0
1934,2,Angelo Schiavio,Italia,4,4,1.0
1934,4,Leopold Kielholz,Suiza,3,2,1.5
1934,4,Raimundo Orsi,Italia,3,5,0.6
1934,6,Abdulrahman Fawzi,Egipto,2,1,2.0
1934,6,Giovanni Ferrari,Italia,2,4,0.5
1934,6,Karl Hohmann,Alemania,2,2,1.0
1934,6,Johann Horvath,Austria,2,2,1.0
1934,6,Iraragorri,España,2,2,1.0
1934,6,Sven Jonasson,Suecia,2,2,1.0
1934,6,Ernest Lehner,Alemania,2,4,0.5
1934,6,Giuseppe Meazza,Italia,2,5,0.4
1934,6,Antonin Puc,Checoslovaquia,2,4,0.5
1934,6,Frantisek Svoboda,Checoslovaquia,2,3,0.67
1934,6,Geza Toldi,Hungría,2,2,1.0
1934,6,Bernard Voorhoof,Bélgica,2,1,2.0
1934,18,Andre Abegglen,Suiza,1,2,0.5
1934,18,Ernesto Belis,Argentina,1,1,1.0
1934,18,Josef Bican,Austria,1,4,0.25
1934,18,Stefan Dobay,Rumania,1,1,1.0
1934,18,Aldo Donelli,Estados Unidos,1,1,1.0
1934,18,Gosta Dunker,Suecia,1,2,0.5
1934,18,Alberto Galateo,Argentina,1,1,1.0
1934,18,Enrique Guaita,Italia,1,4,0.25
1934,18,Willy Jaeggi,Suiza,1,1,1.0
1934,18,Stanislaus Kobierski,Alemania,1,3,0.33
1934,18,Knut Kroon,Suecia,1,2,0.5
1934,18,Isidro Langara,España,1,2,0.5
1934,18,Leonidas,Brasil,1,1,1.0
1934,18,Jean Nicolas,Francia,1,1,1.0
1934,18,Rudolf Noack,Alemania,1,1,1.0
1934,18,Luis Regueiro,España,1,2,0.5
1934,18,Gyorgy Sarosi,Hungría,1,1,1.0
1934,18,Toni Schall,Austria,1,2,0.5
1934,18,Karl Sesta,Austria,1,4,0.25
1934,18,Otto Siffling,Alemania,1,4,0.25
1934,18,Matthias Sindelar,Austria,1,3,0.33
1934,18,Kick Smit,Paises Bajos,1,1,1.0
1934,18,Pal Teleki,Hungría,1,1,1.0
1934,18,Leen Vente,Paises Bajos,1,1,1.0
1934,18,Georges Verriest,Francia,1,1,1.0
1934,18,Jeno Vincze,Hungría,1,1,1.0
1934,18,Karl Zischek,Austria,1,4,0.25
1938,1,Leonidas,Brasil,7,4,1.75
1938,2,Silvio Piola,Italia,5,4,1.25
1938,2,Gyorgy Sarosi,Hungría,5,4,1.25
1938,2,Gyula Zsengeller,Hungría,5,4,1.25
1938,5,Gino Colaussi,Italia,4,3,1.33
