anio,sede,campeon,subcampeon,tercero,cuarto,num_selecciones,num_partidos,num_goles,promedio_gol
1930,Uruguay,Posición,Selección,Uruguay,Argentina,13,18,70,3.89
1934,Italia,Posición,Selección,Italia,Checoslovaquia,16,17,70,4.12
1938,Francia,Posición,Selección,Italia,Hungría,16,18,84,4.67
1950,Brasil,Posición,Selección,Uruguay,Brasil,13,22,88,4.0
1954,Suiza,Posición,Selección,Alemania Occidental,Hungría,16,26,140,5.38
1958,Suecia,Posición,Selección,Brasil,Suecia,16,35,126,3.6
1962,Chile,Posición,Selección,Brasil,Checoslovaquia,16,32,89,2.78
1966,Inglaterra,Posición,Selección,Inglaterra,Alemania Occidental,16,32,89,2.78
1970,México,Posición,Selección,Brasil,Italia,16,32,95,2.97
1974,Alemania Occidental,Posición,Selección,Alemania Occidental,Paises Bajos,16,38,97,2.55
1978,Argentina,Posición,Selección,Argentina,Paises Bajos,16,38,102,2.68
1982,España,Posición,Selección,Italia,Alemania Occidental,24,52,146,2.81
1986,México,Posición,Selección,Argentina,Alemania Occidental,24,52,132,2.54
1990,Italia,Posición,Selección,Alemania Occidental,Argentina,24,52,115,2.21
1994,Estados Unidos,Posición,Selección,Brasil,Italia,24,52,141,2.71
1998,Francia,Posición,Selección,Francia,Brasil,32,64,171,2.67
2002,Corea / Japón,Posición,Selección,Brasil,Alemania,32,64,161,2.52
2006,Alemania,Posición,Selección,Italia,Francia,32,64,147,2.3
2010,Sudáfrica,Posición,Selección,España,Paises Bajos,32,64,145,2.27
2014,Brasil,Posición,Selección,Alemania,Argentina,32,64,171,2.67
2018,Rusia,Posición,Selección,Francia,Croacia,32,64,169,2.64
2022,Catar,Posición,Selección,Argentina,Francia,32,64,172,2.69
