anio_mundial,numero_partido,fecha,etapa,equipo_local,equipo_visitante,goles_local,goles_visitante,goles_local_et,goles_visit_et,penales_local,penales_visit
1930,1,1930-07-13,"1ra Ronda, Grupo 1",Francia,México,4,1,,,,
1930,2,1930-07-13,"1ra Ronda, Grupo 4",Estados Unidos,Bélgica,3,0,,,,
1930,3,1930-07-14,"1ra Ronda, Grupo 3",Rumania,Perú,3,1,,,,
1930,4,1930-07-14,"1ra Ronda, Grupo 2",Yugoslavia,Brasil,2,1,,,,
1930,5,1930-07-15,"1ra Ronda, Grupo 1",Argentina,Francia,1,0,,,,
1930,6,1930-07-16,"1ra Ronda, Grupo 1",Chile,México,3,0,,,,
1930,7,1930-07-17,"1ra Ronda, Grupo 2",Yugoslavia,Bolivia,4,0,,,,
1930,8,1930-07-17,"1ra Ronda, Grupo 4",Estados Unidos,Paraguay,3,0,,,,
1930,9,1930-07-18,"1ra Ronda, Grupo 3",Uruguay,Perú,1,0,,,,
1930,10,1930-07-19,"1ra Ronda, Grupo 1",Argentina,México,6,3,,,,
1930,11,1930-07-19,"1ra Ronda, Grupo 1",Chile,Francia,1,0,,,,
1930,12,1930-07-20,"1ra Ronda, Grupo 4",Paraguay,Bélgica,1,0,,,,
1930,13,1930-07-20,"1ra Ronda, Grupo 2",Brasil,Bolivia,4,0,,,,
1930,14,1930-07-21,"1ra Ronda, Grupo 3",Uruguay,Rumania,4,0,,,,
1930,15,1930-07-22,"1ra Ronda, Grupo 1",Argentina,Chile,3,1,,,,
1930,16,1930-07-26,Semis,Argentina,Estados Unidos,6,1,,,,
1930,17,1930-07-27,Semis,Uruguay,Yugoslavia,6,1,,,,
1930,18,1930-07-30,Final,Argentina,Uruguay,2,4,,,,
1934,1,1934-05-27,Octavos,Alemania,Bélgica,5,2,,,,
1934,2,1934-05-27,Octavos,Suecia,Argentina,3,2,,,,
1934,3,1934-05-27,Octavos,Italia,Estados Unidos,7,1,,,,
1934,4,1934-05-27,Octavos,Hungría,Egipto,4,2,,,,
1934,5,1934-05-27,Octavos,España,Brasil,3,1,,,,
1934,6,1934-05-27,Octavos,Checoslovaquia,Rumania,2,1,,,,
1934,7,1934-05-27,Octavos,Suiza,Paises Bajos,3,2,,,,
1934,8,1934-05-27,Octavos,Austria,Francia,3,2,2,1,,
1934,9,1934-05-31,Cuartos,Checoslovaquia,Suiza,3,2,,,,
1934,10,1934-05-31,Cuartos,Austria,Hungría,2,1,,,,
1934,11,1934-05-31,Cuartos,Alemania,Suecia,2,1,,,,
1934,12,1934-05-31,Cuartos,Italia,España,1,1,0,0,,
1934,13,1934-06-01,Cuartos,Italia,España,1,0,,,,
1934,14,1934-06-03,Semis,Checoslovaquia,Alemania,3,1,,,,
1934,15,1934-06-03,Semis,Italia,Austria,1,0,,,,
1934,16,1934-06-07,3er Puesto,Austria,Alemania,2,3,,,,
1934,17,1934-06-10,Final,Italia,Checoslovaquia,2,1,1,0,,
1938,1,1938-06-04,Octavos,Suiza,Alemania,1,1,0,0,,
1938,2,1938-06-05,Octavos,Francia,Bélgica,3,1,,,,
1938,3,1938-06-05,Octavos,Italia,Noruega,2,1,1,0,,
1938,4,1938-06-05,Octavos,Brasil,Polonia,6,5,2,1,,
1938,5,1938-06-05,Octavos,Hungría,Indias Orientales Holand.,6,0,,,,
1938,6,1938-06-05,Octavos,Checoslovaquia,Paises Bajos,3,0,3,0,,
1938,7,1938-06-05,Octavos,Cuba,Rumania,3,3,1,1,,
1938,8,1938-06-09,Octavos,Suiza,Alemania,4,2,,,,
1938,9,1938-06-09,Octavos,Cuba,Rumania,2,1,,,,
1938,10,1938-06-12,Cuartos,Cuba,Suecia,0,8,,,,
1938,11,1938-06-12,Cuartos,Italia,Francia,3,1,,,,
1938,12,1938-06-12,Cuartos,Hungría,Suiza,2,0,,,,
1938,13,1938-06-12,Cuartos,Brasil,Checoslovaquia,1,1,0,0,,
1938,14,1938-06-14,Cuartos,Brasil,Checoslovaquia,2,1,,,,
1938,15,1938-06-16,Semis,Hungría,Suecia,5,1,,,,
1938,16,1938-06-16,Semis,Brasil,Italia,1,2,,,,
1938,17,1938-06-19,3er Puesto,Brasil,Suecia,4,2,,,,
1938,18,1938-06-19,Final,Italia,Hungría,4,2,,,,
1950,1,1950-06-24,"1ra Ronda, Grupo 1",Brasil,México,4,0,,,,
1950,2,1950-06-25,"1ra Ronda, Grupo 3",Suecia,Italia,3,2,,,,
1950,3,1950-06-25,"1ra Ronda, Grupo 1",Yugoslavia,Suiza,3,0,,,,
1950,4,1950-06-25,"1ra Ronda, Grupo 2",Inglaterra,Chile,2,0,,,,
1950,5,1950-06-25,"1ra Ronda, Grupo 2",España,Estados Unidos,3,1,,,,
1950,6,1950-06-28,"1ra Ronda, Grupo 1",Yugoslavia,México,4,1,,,,
1950,7,1950-06-28,"1ra Ronda, Grupo 1",Brasil,Suiza,2,2,,,,
1950,8,1950-06-29,"1ra Ronda, Grupo 3",Suecia,Paraguay,2,2,,,,
1950,9,1950-06-29,"1ra Ronda, Grupo 2",Estados Unidos,Inglaterra,1,0,,,,
1950,10,1950-06-29,"1ra Ronda, Grupo 2",España,Chile,2,0,,,,
1950,11,1950-07-01,"1ra Ronda, Grupo 1",Brasil,Yugoslavia,2,0,,,,
1950,12,1950-07-02,"1ra Ronda, Grupo 4",Uruguay,Bolivia,8,0,,,,
1950,13,1950-07-02,"1ra Ronda, Grupo 1",Suiza,México,2,1,,,,
1950,14,1950-07-02,"1ra Ronda, Grupo 2",España,Inglaterra,1,0,,,,
1950,15,1950-07-02,"1ra Ronda, Grupo 2",Chile,Estados Unidos,5,2,,,,
1950,16,1950-07-02,"1ra Ronda, Grupo 3",Italia,Paraguay,2,0,,,,
1950,17,1950-07-09,Ronda Final,Brasil,Suecia,7,1,,,,
1950,18,1950-07-09,Ronda Final,Uruguay,España,2,2,,,,
1950,19,1950-07-13,Ronda Final,Uruguay,Suecia,3,2,,,,
1950,20,1950-07-13,Ronda Final,Brasil,España,6,1,,,,
1950,21,1950-07-16,Ronda Final,Suecia,España,3,1,,,,
